embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31,embedding_32,embedding_33,embedding_34,embedding_35,embedding_36,embedding_37,embedding_38,embedding_39,embedding_40,embedding_41,embedding_42,embedding_43,embedding_44,embedding_45,embedding_46,embedding_47,embedding_48,embedding_49,embedding_50,embedding_51,embedding_52,embedding_53,embedding_54,embedding_55,embedding_56,embedding_57,embedding_58,embedding_59,embedding_60,embedding_61,embedding_62,embedding_63,label,date
-2.6112313,1.0079342,-0.16043031,0.3711781,-1.5484103,-1.0558885,-0.16807021,-1.6298176,-0.58265823,1.7261004,-0.7171114,-0.55008227,1.0978055,-0.69582427,1.2586615,0.23698989,-0.3418105,0.43311036,0.07711433,1.5265715,0.591573,0.8154103,0.010940466,0.51337767,0.31102976,1.2309947,-1.0689263,0.58912927,0.8301908,0.5448198,-1.3819379,0.92579865,-1.1473087,1.7763367,-0.7387916,-0.4354193,-0.33739468,1.3155026,-0.39286992,0.54244846,-1.992853,-0.3852051,-0.20273787,-0.18136996,-0.10278304,-0.3143781,-1.1476421,1.22303,-1.2957582,1.6742436,-1.496162,0.027370516,0.88341886,1.7044572,-0.33552223,1.6675801,0.01763099,0.57162654,-0.56587946,-0.6776936,-1.4610626,0.34201816,-0.43152437,0.29941496,1.0,2025-04-30
-2.597009,0.911801,-0.21066909,0.45648158,-1.514818,-0.8958066,-0.28924865,-1.6417547,-0.7037711,1.7446312,-0.7296734,-0.46156427,0.9934414,-0.6042867,1.3190211,0.33121356,-0.3430872,0.4886499,-0.013383739,1.496678,0.6237956,0.916478,-0.1398188,0.6651946,0.2959949,1.3146317,-0.9386931,0.59185565,0.8224668,0.51189005,-1.4264618,0.8937394,-1.1848917,1.8027287,-0.7375856,-0.47194603,-0.32681808,1.368515,-0.44104153,0.5278112,-2.0647862,-0.40211943,-0.33202496,-0.16743639,-0.0063281753,-0.30703518,-1.1065135,1.1252127,-1.2626187,1.5940665,-1.5650524,0.05676766,0.91867536,1.6381708,-0.33384347,1.7389784,-0.025505083,0.50167733,-0.5623214,-0.641205,-1.4328939,0.37750256,-0.41799626,0.26108593,0.0,2025-05-01
-2.3517992,0.47100967,-0.44945163,-0.001094897,-1.5537034,-0.35688782,0.03083719,-1.8474952,-0.13413309,2.019656,-0.9046234,-0.5151704,1.2265341,-0.23855563,1.0869895,0.07951366,-0.18242738,0.4847473,-0.16223826,0.79437953,0.8572511,1.360061,-0.78394634,0.9508653,0.09325575,1.177282,-0.7389103,0.5009926,0.8301319,0.27987954,-0.93242985,0.70205426,-1.3156865,2.1551504,-0.14415337,-0.5090654,0.2949959,0.8222534,-0.35508972,0.6509562,-2.0779448,-0.14011233,-0.31025678,-0.25717455,-0.26300117,-0.12445687,-1.4590504,0.6909211,-1.0110846,1.5456353,-1.3743908,0.39356172,0.5832512,1.4470223,-0.8051341,2.2784612,-0.0015750892,0.67800456,-1.2521768,-0.89652467,-1.5814506,0.75367683,-0.16542476,-0.052042156,0.0,2025-05-02
-2.2544398,0.9031728,-0.3106988,-0.28812936,-1.2019125,-0.9178714,0.2217297,-1.9309644,0.35842454,1.9457694,-0.7103837,-0.9698741,1.4283037,-0.4647385,0.6721685,0.05949998,-0.30188984,0.42043072,0.06352343,0.9730467,0.5285262,1.1417205,-0.7372576,0.79694885,0.3124368,1.1119494,-0.84991235,0.89612263,0.6979064,0.10050245,-0.99842536,0.5733218,-1.1303947,1.799421,0.05793991,-0.60429364,0.1530892,0.7964488,-0.5127157,0.8096062,-2.1016552,-0.051947076,0.08163373,-0.51994026,-0.65311223,-0.2279073,-1.6073846,1.0177689,-1.023605,1.7184793,-1.1446522,0.5242425,0.618275,1.4786484,-0.55555636,2.187709,0.030473659,0.9066031,-1.2069479,-0.69800377,-1.8023438,0.7090855,-0.32033345,-0.0058615813,0.0,2025-05-05
-2.178844,1.0436734,-0.28855947,-0.2998198,-1.0805455,-1.0559214,0.21692386,-2.0860472,0.6979584,1.8510458,-0.516794,-1.3683156,1.775922,-0.50064313,0.47346118,-1.6886392e-05,-0.37157732,0.39437434,0.13882829,0.8693972,0.30274528,0.8847984,-0.6264716,0.7032475,0.4220023,1.0548168,-0.820032,0.89410245,0.6262635,0.102539346,-1.0698657,0.53680015,-0.9100913,1.2953968,0.12637934,-0.7373348,0.1555859,0.7327208,-0.5188678,1.0011878,-2.1054142,-0.0858751,0.27291974,-0.7263418,-0.7406024,0.005760997,-1.8222996,1.4217336,-1.1597465,1.6154082,-0.7657826,0.5108269,0.64626193,1.2073959,-0.48846313,1.986805,0.17892098,1.1314632,-1.0346435,-0.5754982,-1.9792811,0.79647064,-0.41328773,0.24549378,0.0,2025-05-06
-2.0036006,0.9331679,-0.35872945,-0.41773927,-1.2032833,-0.93172777,0.31754577,-2.0567656,0.82102627,1.8561732,-0.65671986,-1.345256,1.7776684,-0.3424364,0.529228,-0.10304808,-0.26035792,0.40787268,1.273863e-05,0.54843724,0.38564512,1.1036738,-0.84382796,0.72840077,0.28276283,0.92614543,-0.76065695,0.8152524,0.7435319,0.08912293,-0.8522958,0.5811068,-1.1732061,1.5498389,0.21816507,-0.67767566,0.33001798,0.5105629,-0.38709554,1.0569648,-2.0455103,-0.004598749,0.24798141,-0.7101893,-0.6951432,-0.064188845,-1.8384694,1.1008973,-1.0843337,1.6597706,-0.7286499,0.5786503,0.5630493,1.2586536,-0.5584758,2.1741087,0.16368069,1.0157499,-1.2144394,-0.7097252,-1.9255893,0.92705595,-0.4128956,0.15789281,1.0,2025-05-07
-2.0723796,1.1205189,-0.27366278,-0.34480086,-1.1331581,-1.1324084,0.2892742,-2.139366,0.78792286,1.7331709,-0.49026805,-1.500636,1.8511784,-0.42054275,0.48993066,-0.12564519,-0.31253415,0.40840745,0.09955387,0.7448173,0.1608172,0.94941753,-0.6452823,0.6250193,0.4122331,0.93488157,-0.83350945,0.8741041,0.6869717,0.15397559,-0.9435996,0.631429,-1.0367379,1.285453,0.05688539,-0.75699794,0.20209922,0.606874,-0.4691552,1.1029562,-2.0607016,-0.06347031,0.37100592,-0.81582344,-0.67435956,-0.031407893,-1.8197591,1.4265234,-1.175829,1.6470085,-0.63097465,0.47238865,0.6171247,1.2027439,-0.44689208,2.0606897,0.18754186,1.0309317,-1.0239512,-0.60733783,-1.9126676,0.8275095,-0.48708603,0.32256347,1.0,2025-05-08
-2.1159775,1.2829826,-0.26469862,-0.30611283,-1.0780722,-1.3101227,0.29998195,-2.143366,0.67649776,1.6595713,-0.44125217,-1.4529252,1.7625732,-0.5042462,0.47699785,-0.07587535,-0.39942777,0.41904703,0.10593819,1.0241637,0.12464005,0.8147886,-0.35171402,0.5611116,0.46478656,0.91289806,-0.8995602,0.88968,0.7079579,0.16674313,-1.1012027,0.73072255,-0.96818954,1.1717634,-0.07620377,-0.7946779,0.0023808782,0.6885038,-0.45497078,1.0473658,-2.0912054,-0.10314411,0.45840898,-0.849229,-0.67915213,-0.02056175,-1.7619512,1.6419951,-1.2720412,1.6315049,-0.67165506,0.2885591,0.70196635,1.299244,-0.31650186,1.9157217,0.14548041,1.0241442,-0.82096416,-0.5497011,-1.8586237,0.6768711,-0.5525061,0.5035311,1.0,2025-05-09
-2.4616714,1.1364923,-0.34138718,0.2064965,-1.6511413,-0.9231651,-0.04588045,-1.9010031,-0.5150327,1.6124893,-0.89721704,-0.45236444,1.0292836,-0.20612441,1.3363813,0.19492544,-0.42248374,0.6447079,-0.12774606,1.2034364,0.74387395,1.1505132,0.07613173,0.6605887,0.23877934,0.9129808,-1.002298,0.44457087,1.0248084,0.49554333,-1.2875347,1.0237688,-1.6465412,1.845497,-0.7407754,-0.681267,-0.26439023,1.0841908,-0.16806856,0.53984386,-1.9119623,-0.44349262,-0.18719605,-0.26453558,0.026222963,-0.2007723,-1.0377784,0.93250257,-1.445998,1.5710639,-1.4042125,-0.053385824,0.9172926,1.8092262,-0.37852764,1.88067,-0.2685868,0.37194127,-0.5144878,-0.7427609,-1.1579229,0.43109193,-0.39351726,0.58619916,1.0,2025-05-12
-2.4968848,1.2444558,-0.32331282,0.34793973,-1.5932052,-1.0391822,-0.1709519,-1.8964834,-0.6954547,1.5170329,-0.7872102,-0.50930583,0.96068454,-0.21655968,1.3257989,0.2233765,-0.5162352,0.7605053,-0.11381765,1.3054302,0.5917311,1.0415499,0.23442739,0.6317632,0.21249312,0.91422135,-1.0436896,0.4842199,0.9937148,0.5783897,-1.3728216,1.1320183,-1.5409864,1.6817808,-0.885361,-0.6553,-0.43237305,1.2187824,-0.15068549,0.49469426,-1.8889289,-0.50531685,-0.20597057,-0.28650686,0.21181767,-0.22836362,-0.91983294,1.0693744,-1.5212396,1.5509841,-1.4198296,-0.17408733,0.96947145,1.8042744,-0.2780402,1.682538,-0.29029068,0.36580533,-0.30502167,-0.67434543,-1.0903484,0.36501354,-0.46626028,0.7695652,0.0,2025-05-13
-2.4560924,1.3085102,-0.29598626,0.27581364,-1.5565729,-1.0824122,-0.15383956,-1.8668047,-0.7421165,1.4542747,-0.82220453,-0.4505542,0.8459411,-0.20526372,1.3084614,0.24958503,-0.56635845,0.82390416,-0.11346995,1.3478158,0.64216906,1.0449406,0.31629896,0.6448922,0.19551416,0.8204706,-1.0926136,0.53054345,0.984914,0.5397781,-1.4276272,1.1740835,-1.5937028,1.6932905,-0.91033787,-0.5996991,-0.50021255,1.2594242,-0.09823051,0.42149562,-1.8659452,-0.50491333,-0.19528256,-0.29214182,0.2618863,-0.25133237,-0.82377034,1.0258619,-1.4985292,1.5147846,-1.44016,-0.21351695,1.0323611,1.8728074,-0.21851417,1.6138532,-0.4077436,0.32295707,-0.22840513,-0.67971957,-1.0689158,0.2951909,-0.46682087,0.8577596,0.0,2025-05-14
-2.4812624,1.3684013,-0.2803952,0.23958598,-1.5859696,-1.1337806,-0.048473895,-1.938772,-0.653904,1.4673145,-0.7821307,-0.52210635,0.9168623,-0.2081391,1.2199137,0.19595146,-0.6135718,0.8412323,-0.042904217,1.3061615,0.5483824,1.0049931,0.4118362,0.6313824,0.24869376,0.7597403,-1.1359985,0.5665017,0.9507857,0.5036959,-1.4124113,1.1738219,-1.5417677,1.620583,-0.8697975,-0.5745525,-0.5008156,1.2500913,-0.06570263,0.47822046,-1.8799884,-0.4750118,-0.08334033,-0.3326382,0.23411591,-0.20834789,-0.8959092,1.0978181,-1.5665009,1.5505878,-1.3752996,-0.24966505,0.99092394,1.8675714,-0.20761682,1.549364,-0.4368251,0.3354581,-0.24335785,-0.63483536,-1.1109641,0.29575893,-0.44493967,0.9015263,0.0,2025-05-15
-2.4425857,1.3093175,-0.2947995,0.19271345,-1.6872783,-1.023678,-0.004760376,-1.9333775,-0.65319425,1.4962564,-0.8876654,-0.42374256,0.89940757,-0.095348194,1.2771964,0.15556358,-0.602591,0.8677475,-0.05708749,1.1958817,0.6556656,1.0976795,0.39769977,0.6580732,0.18152706,0.653585,-1.1081989,0.5117205,0.9590344,0.466308,-1.379989,1.1523737,-1.6633263,1.7243158,-0.83664334,-0.5398576,-0.4202572,1.2597458,0.006912807,0.47572607,-1.8685714,-0.47356272,-0.10744195,-0.28540078,0.25091577,-0.17606407,-0.9156575,0.9671269,-1.5615113,1.5201814,-1.421338,-0.23114331,1.0008329,1.8723881,-0.25691703,1.5591555,-0.49779853,0.28877336,-0.27886936,-0.6708986,-1.1069914,0.31388384,-0.37388033,0.9026098,0.0,2025-05-16
-2.4878306,1.4146599,-0.26415187,0.029564442,-1.669179,-1.1727911,0.20634249,-2.060059,-0.24865922,1.5884956,-0.7326628,-0.724453,1.2114491,-0.1764359,1.0644104,0.02622288,-0.6136984,0.7870848,0.15725216,1.1367463,0.4070079,0.951196,0.395185,0.56975675,0.35083768,0.59041345,-1.1576746,0.6204908,0.9014623,0.41773915,-1.2522647,1.0528927,-1.5011141,1.5704236,-0.6606264,-0.5989722,-0.3438788,1.1862192,-0.02720708,0.70634526,-1.8951855,-0.43607596,0.18680651,-0.41351202,0.00096942676,-0.11204615,-1.2025228,1.1166751,-1.6537178,1.6779851,-1.2508186,-0.20857944,0.85405844,1.8200265,-0.3091813,1.556883,-0.39546108,0.37096927,-0.41613504,-0.5905282,-1.2458446,0.42374954,-0.3518222,0.81237996,0.0,2025-05-19
